Sample_ID,Site,Inclusive site,Geologic Member/Level,Order,Family.modifier,Family,Tribe.modifier,Tribe,Reference/ Repository
A.L. 398 1 f,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 398 1 g,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 398 1 h,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 398 1 j,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 398 1 k,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 398 8 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 399 2 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 399 2 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 399 2 c,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 399 2 d,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 399 3 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 3 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 c,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 d,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 e,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 f,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 g,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 402 7 h,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 1 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 10 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 11 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 12 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 3 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 3 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 33 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 33 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 38 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 38 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 40 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 40 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 45 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 46 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 c,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 d,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 e,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 f,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 g,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 47 h,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 48 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 48 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 48 c,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 6 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 7 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 8 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 9 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 403 92 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 406 20 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 406 4 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 1426 1 ,Hadar,Hadar,BM/SHT,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 27 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 42 a,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 42 b,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 57 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 63 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 75 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 1665 2 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 899 1 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 1663 1 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 1673 1 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 272 1 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 401 3 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 401 3 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 406 2 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 406 3 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 407 3 a,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 407 3 b,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 11 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 39 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 53 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 54 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 62 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 124 71 ,Hadar,Hadar,BMs,Artiodactyla,,Suidae,,Nyanzachoerini,Hadar Database
A.L. 406 8 ,Hadar,Hadar,BM,Artiodactyla,,Suidae,,Potamochoerini,Hadar Database
A.L. 124 56 ,Hadar,Hadar,BMs,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 1629 1 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 13 a,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 13 b,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 a,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 b,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 c,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 d,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 e,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 f,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 41 g,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 403 91 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 900 1 a,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 900 1 b,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 900 1 c,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 124 32 ,Hadar,Hadar,BMs,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 1683 1 ,Hadar,Hadar,BMs,Artiodactyla,,Bovidae,,Tragelaphini,Hadar Database
A.L. 399 12 a,Hadar,Hadar,BM,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 399 12 b,Hadar,Hadar,BM,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 406 6 ,Hadar,Hadar,BM,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 18 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 24 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 25 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 26 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 31 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 35 a,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 35 b,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 35 c,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 36 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 124 37 ,Hadar,Hadar,BMs,Artiodactyla,,Hippopotamidae,,,Hadar Database
A.L. 399 4 a,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 399 4 b,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 399 4 c,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 402 5 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 20 a,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 20 b,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 20 c,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 20 d,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 20 e,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 21 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 22 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 39 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 52 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 53 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 54 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 56 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 57 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 60 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 62 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 403 76 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 406 9 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Bovini,Hadar Database
A.L. 398 12 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 398 14 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 398 18 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 401 10 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 401 11 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 401 9 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 402 6 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 403 29 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Antilopini,Hadar Database
A.L. 406 24 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 406 25 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 406 26 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 406 27 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 406 7 ,Hadar,Hadar,BM,Artiodactyla,,Bovidae,,Alcelaphini,Hadar Database
A.L. 403 79 ,Hadar,Hadar,BM,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 403 93 ,Hadar,Hadar,BM,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 124 1 a,Hadar,Hadar,BMs,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 124 1 b,Hadar,Hadar,BMs,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 124 34 ,Hadar,Hadar,BMs,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 124 9 ,Hadar,Hadar,BMs,Artiodactyla,,Giraffidae,,,Hadar Database
A.L. 272 4 ,Hadar,Hadar,BM,Carnivora,,Viverridae,,,Hadar Database
A.L. 1634 5 ,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 403 89 a,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 403 89 b,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 403 89 c,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 406 1 b,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 124 10 ,Hadar,Hadar,BMs,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 124 76 a,Hadar,Hadar,BMs,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 124 76 b,Hadar,Hadar,BMs,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 124 76 c,Hadar,Hadar,BMs,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 124 77 ,Hadar,Hadar,BMs,Carnivora,,Mustelidae,,Enhydrini,Hadar Database
A.L. 1667 2 ,Hadar,Hadar,BM,Carnivora,,Felidae,,Homotheriini,Hadar Database
A.L. 403 86 a,Hadar,Hadar,BM,Carnivora,,Felidae,,Homotheriini,Hadar Database
A.L. 403 86 b,Hadar,Hadar,BM,Carnivora,,Felidae,,Homotheriini,Hadar Database
A.L. 403 86 c,Hadar,Hadar,BM,Carnivora,,Felidae,,Homotheriini,Hadar Database
A.L. 403 86 d,Hadar,Hadar,BM,Carnivora,,Felidae,,Homotheriini,Hadar Database
A.L. 1628 2 a,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 1628 2 b,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 406 1 a,Hadar,Hadar,BM,Carnivora,,Hyaenidae,,,Hadar Database
A.L. 403 32 a,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 403 32 b,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 406 5 ,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 72 a,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 72 b,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 72 c,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 72 d,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 1623 3 a,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 1623 3 b,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 1623 3 c,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 1636 1 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 a,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 b,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 c,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 d,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 e,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 f,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 g,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 h,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 2 i,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 398 9 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 23 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 24 a,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 24 b,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 24 c,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 25 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 26 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 49 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 50 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 51 a,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 51 b,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 403 51 c,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 406 21 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 406 22 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 406 28 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 1427 1 ,Hadar,Hadar,BM/SHT,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 12 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 13 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 14 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 15 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 16 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 17 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 50 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 51 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 52 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 59 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 60 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 124 61 ,Hadar,Hadar,BMs,Perissodactyla,,Equidae,,Hipparionini,Hadar Database
A.L. 1668 2 ,Hadar,Hadar,BM,Perissodactyla,,Equidae,,,Hadar Database
A.L. 1668 3 a,Hadar,Hadar,BM,Perissodactyla,,Equidae,,,Hadar Database
A.L. 1623 2 ,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 1624 2 ,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 402 2 ,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 406 14 ,Hadar,Hadar,BM,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 3 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 47 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 48 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 49 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 65 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 124 73 ,Hadar,Hadar,BMs,Perissodactyla,,Rhinoceratidae,,,Hadar Database
A.L. 1425 1 ,Hadar,Hadar,BM/SHT,Primates,,Cercopithecidae,,Papionini,Hadar Database
A.L. 1635 1 ,Hadar,Hadar,BM,Primates,,Cercopithecidae,,Papionini,Hadar Database
A.L. 401 8 ,Hadar,Hadar,BM,Primates,,Cercopithecidae,,Papionini,Hadar Database
A.L. 403 43 ,Hadar,Hadar,BM,Primates,,Cercopithecidae,,Papionini,Hadar Database
A.L. 403 44 ,Hadar,Hadar,BM,Primates,,Cercopithecidae,,Colobini,Hadar Database
A.L. 401 1 a,Hadar,Hadar,BM,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 401 1 b,Hadar,Hadar,BM,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 401 1 c,Hadar,Hadar,BM,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 401 2 ,Hadar,Hadar,BM,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 124 64 a,Hadar,Hadar,BMs,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 124 64 b,Hadar,Hadar,BMs,Proboscidea,,Deinotheriidae,,,Hadar Database
A.L. 124 66 i,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 66 j,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 67 ,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 68 a,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 68 b,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 69 ,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 124 38 ,Hadar,Hadar,BMs,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 3 a,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 3 b,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 4 a,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 4 b,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 4 c,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 4 d,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 5 a,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 5 b,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 398 5 c,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 399 17 ,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 34 ,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 37 ,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 82 a,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 82 b,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 82 c,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 82 d,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
A.L. 403 83 ,Hadar,Hadar,BM,Proboscidea,,Elephantidae,,,Hadar Database
